No.Jurnal;Tanggal;Deskripsi;Nominal;Kode Akun;Alasan
sV9DohQK;2026-05-12;Tarik dari ATM;2500000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
HqMxndn1;2026-05-15;Tarik dari ATM;1500000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
AdzjSY1x;2026-05-17;Tarik dari ATM;5800000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
DzQrZH32;2026-05-18;Tarik dari ATM;2000000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
icF88MLA;2026-05-19;Tarik dari ATM;6500000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
BQ0qrv7F;2026-05-22;Tarik dari ATM;2500000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
Ryy19Wmb;2026-05-23;Tarik dari ATM;5000000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
LKsYkoMV;2026-05-30;Tarik dari ATM;4000000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
UnB7EEPl;2026-06-01;Tarik ATM;4000000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
b2LKD4US;2026-06-03;Tarik ATM;4000000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
7AyiKc84;2026-06-04;Tarik ATM;5000000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
Jw8tLZr2;2026-06-08;Tarik ATM;2500000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
BG0zZ7Tb;2026-06-09;Tarik ATM;10000000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
6tfyOu4l;2026-06-12;Tarik ATM;2500000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
OIg6Jwmq;2026-06-16;Tarik ATM;5000000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
7UKJy1Kb;2026-06-18;Tarik ATM;2500000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
3EUasKHX;2026-06-24;Tarik ATM;5000000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
1wbC9gp4;2026-06-25;Tarik ATM;5000000;1111;Dobel dgn baris TARIKAN ATM di sisi Bank (rek 5599) - sesuai keputusan: pertahankan sisi Bank
