Tanggal,Bulan_File,Deskripsi,Debit,Kredit,Saldo_Berjalan_Terkoreksi,Kode_Akun_Lawan_Saran,Nama_Akun_Lawan_Saran,Confidence,Catatan
,Maret,"(Saldo Kas Kecil akhir Februari 2026, sesuai ledger bul-accounting.web.app)",1800000,,1800000,,,Tidak Berlaku (baris saldo/memo),"REVISI: anchor sebelumnya (Rp49.280.000, dari keterangan '(Saldo FEBRUARI 2026)' di Excel) TERNYATA SALAH - Excel Februari melebih-hitungkan pengeluaran Lakalantas B 9592 KIU dgn menggabungkan baris bertanggal Maret ke dalam total Februari, membuat saldo akhir Feb tercatat -Rp49.280.000 (deficit semu). Ledger resmi di web app (yg sudah menggabungkan Oprasional + Lakalantas dgn tanggal benar) menunjukkan saldo akhir Februari yang benar = Rp1.800.000 - dipakai sbg anchor baru per 1 Maret 2026. Transaksi 1-6 Maret sendiri diambil dari web app (bukan Excel Oprasional) krn Excel-nya tidak mencakup baris Lakalantas."
2026-03-01,Maret (sumber: web app bul-accounting),Penambahan Uang Kas,35000000,,36800000,2153,Hutang Pemegang Saham,Tinggi (dikonfirmasi user),"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Dana untuk menutup biaya Lakalantas B 9592 KIU (santunan keluarga korban Rp35.000.000 & transport Rp1.000.000), dikonfirmasi user sbg dana dari pemegang saham."
2026-03-01,Maret (sumber: web app bul-accounting),Penambahan Uang Kas,1000000,,37800000,2153,Hutang Pemegang Saham,Tinggi (dikonfirmasi user),"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Dana untuk menutup biaya Lakalantas B 9592 KIU (santunan keluarga korban Rp35.000.000 & transport Rp1.000.000), dikonfirmasi user sbg dana dari pemegang saham."
2026-03-01,Maret (sumber: web app bul-accounting),Biaya Tambahan Santunan ke keluarga Korban (Laka B 9592 KIU),,35000000,2800000,6360,Beban Lain-lain Operasional,Sedang,"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Biaya terkait Lakalantas B 9592 KIU (Feb-Mar 2026) - CoA belum punya akun spesifik utk klaim/santunan kecelakaan pihak ketiga, disarankan buat akun baru jika berulang."
2026-03-01,Maret (sumber: web app bul-accounting),"Pembayaran Biaya Perbaikan B 9939 FYZ (Penggantian Bushing, Stopper, Pembelian stopper 2, Lass, Griss)",,1270000,1530000,5210,Servis & Perbaikan Berkala,Sedang,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-01,Maret (sumber: web app bul-accounting),Biaya Transport Team Pak Dekky (Laka B 9592 KIU),,1000000,530000,6360,Beban Lain-lain Operasional,Sedang,"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Biaya terkait Lakalantas B 9592 KIU (Feb-Mar 2026) - CoA belum punya akun spesifik utk klaim/santunan kecelakaan pihak ketiga, disarankan buat akun baru jika berulang."
2026-03-01,Maret (sumber: web app bul-accounting),Pembelian Materai 12 di Kantin @15ribu perlembar. (Laka B 9592 KIU),,180000,350000,6360,Beban Lain-lain Operasional,Sedang,"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Biaya terkait Lakalantas B 9592 KIU (Feb-Mar 2026) - CoA belum punya akun spesifik utk klaim/santunan kecelakaan pihak ketiga, disarankan buat akun baru jika berulang."
2026-03-01,Maret (sumber: web app bul-accounting),Biaya makan @4 orang (Laka B 9592 KIU),,150000,200000,6360,Beban Lain-lain Operasional,Sedang,"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Biaya terkait Lakalantas B 9592 KIU (Feb-Mar 2026) - CoA belum punya akun spesifik utk klaim/santunan kecelakaan pihak ketiga, disarankan buat akun baru jika berulang."
2026-03-02,Maret (sumber: web app bul-accounting),Penambahan Uang Kas Masuk,10000000,,10200000,1112,Bank BCA Operasional,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-02,Maret (sumber: web app bul-accounting),Penggantian Toll Driver Sukma,,150000,10050000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-02,Maret (sumber: web app bul-accounting),Uang Makan Sukma Selama di Bengkel Penggantian Bemper,,50000,10000000,5150,"Uang Jalan, Makan & Penginapan Sopir",Sedang,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-03,Maret (sumber: web app bul-accounting),Biaya Pengeluaran Unit kendaraan di Polres Tigaraksa (Laka B 9592 KIU),,10000000,0,6360,Beban Lain-lain Operasional,Sedang,"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Biaya terkait Lakalantas B 9592 KIU (Feb-Mar 2026) - CoA belum punya akun spesifik utk klaim/santunan kecelakaan pihak ketiga, disarankan buat akun baru jika berulang."
2026-03-03,Maret (sumber: web app bul-accounting),Uang makan Driver dari tanggal 18 Feb - 3 Maret 2026 (14 hari) (Laka B 9592 KIU),,1400000,-1400000,6360,Beban Lain-lain Operasional,Sedang,"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Biaya terkait Lakalantas B 9592 KIU (Feb-Mar 2026) - CoA belum punya akun spesifik utk klaim/santunan kecelakaan pihak ketiga, disarankan buat akun baru jika berulang."
2026-03-03,Maret (sumber: web app bul-accounting),Pembayaran Uang Sewa Kontrakan bulan Maret 2026,,1100000,-2500000,6170,Sewa Kantor/Gudang,Sedang,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-03,Maret (sumber: web app bul-accounting),Biaya transport BBM Ari  (Laka B 9592 KIU),,300000,-2800000,6360,Beban Lain-lain Operasional,Sedang,"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Biaya terkait Lakalantas B 9592 KIU (Feb-Mar 2026) - CoA belum punya akun spesifik utk klaim/santunan kecelakaan pihak ketiga, disarankan buat akun baru jika berulang."
2026-03-03,Maret (sumber: web app bul-accounting),"Uang Jasa titip Ban dan Aki, berseta Yatno tinggal (Laka B 9592 KIU)",,300000,-3100000,6360,Beban Lain-lain Operasional,Sedang,"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Biaya terkait Lakalantas B 9592 KIU (Feb-Mar 2026) - CoA belum punya akun spesifik utk klaim/santunan kecelakaan pihak ketiga, disarankan buat akun baru jika berulang."
2026-03-03,Maret (sumber: web app bul-accounting),Pembelian BBM B 9140 SAL Ari,,300000,-3400000,5110,BBM Armada,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-03,Maret (sumber: web app bul-accounting),Tambahan Solar Yatno ke Pool Ancol dan Bengkel Legok,,300000,-3700000,5110,BBM Armada,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-03,Maret (sumber: web app bul-accounting),Biaya Makan dan Rokok bersama team Penyidik @5orang (Laka B 9592 KIU),,250000,-3950000,6360,Beban Lain-lain Operasional,Sedang,"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Biaya terkait Lakalantas B 9592 KIU (Feb-Mar 2026) - CoA belum punya akun spesifik utk klaim/santunan kecelakaan pihak ketiga, disarankan buat akun baru jika berulang."
2026-03-04,Maret (sumber: web app bul-accounting),Biaya Ops dan Fee Team Pak Dekky,2500000,,-1450000,2153,Hutang Pemegang Saham,Tinggi (dikonfirmasi user),"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Dana untuk menutup biaya Fee Team Pak Dekky (Lakalantas B 9592 KIU), dikonfirmasi user sbg dana dari pemegang saham."
2026-03-04,Maret (sumber: web app bul-accounting),Biaya Oprasional dan Fee Team Pak Dekky (Laka B 9592 KIU),,2500000,-3950000,6360,Beban Lain-lain Operasional,Sedang,"Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung. Biaya terkait Lakalantas B 9592 KIU (Feb-Mar 2026) - CoA belum punya akun spesifik utk klaim/santunan kecelakaan pihak ketiga, disarankan buat akun baru jika berulang."
2026-03-04,Maret (sumber: web app bul-accounting),Penggantian Toll Driver Aril,,525000,-4475000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret (sumber: web app bul-accounting),Penggantian Toll Driver Sukma/Randy,,325000,-4800000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret (sumber: web app bul-accounting),Toll Ari Ancol PP,,100000,-4900000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret (sumber: web app bul-accounting),Uang makan Yatno di bengkel pasang Bemper dan Penggantian Toll dari Bengkel Legok ke Poll,,100000,-5000000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
